ID	Capability domain	Capability	Historical evidence	Evidence class / confidence	Current CTR behavior	Current source / test evidence	Current deployment status	Restoration status	Intentional modern divergence	Remaining gap	Target decision	Restoration lane	Citizen impact	GitHub issue	Notes (recon CTR mapping)
AUTH-01	Authentication & Sessions	Member login by nickname + password	place CGI login POST; ccgi_login_main password gate	PROVEN_RUNTIME	Session login by username + password	api/src/services/auth, api/src/routes/auth.routes.ts	Deployed @ba8c6a3	RESTORED	-	-	no action	-	none	-	api member.routes /login, MemberService
AUTH-02	Authentication & Sessions	Wrong-password rejection	strcmp gate in ccgi_login_main	PROVEN_RUNTIME	Rejects wrong password	api/src/services/auth	Deployed @ba8c6a3	RESTORED	-	-	no action	-	none	-	bcrypt compare in MemberService
AUTH-03	Authentication & Sessions	Ban enforcement	M.EXD moderation ban field	PROVEN_RUNTIME	`member.banned` boolean enforced at login	api/src/types/models/member.model.ts:40; /admin/ban	Deployed @ba8c6a3	RESTORED_WITH_INTENTIONAL_MODERN_SAFETY_DIVERGENCE	Single boolean rather than the graded EXT/EXM/EXL/MPL record	Severity/expiry/attribution grading absent	restore	ADMIN-A1	none	#21	ban repository, Banned.vue, admin /ban
AUTH-04	Authentication & Sessions	Visitor / guest session	print?NNM=Visitor&login=true	PROVEN_RUNTIME	No guest mode	no guest path in api/src/services/auth	n/a	OWNER_DECISION_REQUIRED	-	CTR is members-only by design; restoring guest access is a product choice, not a parity obligation	owner decision	BACKLOG-P3	low - CTR is members-only by design	#26	no guest mode in CTR
AUTH-05	Authentication & Sessions	Registration	register CGI, register.cfg generations	PROVEN_SOURCE	Registration with immigration grant in ledger	api/src/repositories/member/member.repository.ts:51-71	Deployed @ba8c6a3	RESTORED_WITH_INTENTIONAL_MODERN_SAFETY_DIVERGENCE	Grant is an audited ledger event, not a column DEFAULT	-	no action	-	none	-	SignupPage.vue, /member/signup
AUTH-06	Authentication & Sessions	Session ticket lifecycle	table T via ccgi_TicketInsert, DB_ + 16 hex cookie	PROVEN_SOURCE	JWT session	api/src/libs, auth service	Deployed @ba8c6a3	RESTORED_WITH_INTENTIONAL_MODERN_SAFETY_DIVERGENCE	Stateless JWT replaces the historical `T` ticket table; `T` was runtime state, not durable record	-	no action	-	none	-	JWT session
AUTH-07	Authentication & Sessions	Subscription entitlement gate	M.RGK checked in 35 CGIs	PROVEN_SOURCE	No subscription tier	n/a	n/a	NOT_RESTORATION_TARGET	IVN commercial billing (`M.RGK`) is a distinct domain	Not a restoration target	not a target	-	none - final-year policy is free access	-	deliberately absent
AUTH-08	Authentication & Sessions	Password reset	no historical route identified	SPECULATIVE	`POST /member/send_password_reset` + reset	api/src/routes/member.routes.ts:49; api/src/libs/mail.ts	Deployed @ba8c6a3	RESTORED	CTR capability with no identified historical counterpart	Non-functional on beta -- delivery is broken, not the feature	restore	BETA-MAIL-A1	none	#13	/send_password_reset, /reset_password
IDENT-01	Identity & Citizen Lifecycle	Citizen profile view	citizen CGI, 2909 requests	PROVEN_PRODUCTION_USE	Citizen profile view	api/src/controllers/member.controller.ts; spa profile pages	Deployed @ba8c6a3	RESTORED	-	-	no action	-	none	-	directory/Directory.vue, /member/info
IDENT-02	Identity & Citizen Lifecycle	Profile editing	citizen POST verbs	PROVEN_SOURCE	Profile editing	api/src/services/member/member.service.ts	Deployed @ba8c6a3	RESTORED	-	-	no action	-	none	-	/member/updateinfo
